Image,Group,Index,X,Y
examples/example.png,Test,0,298.25394321766566,151.41955835962148
examples/example.png,Test,1,200.36435331230285,106.9242902208202
examples/example.png,Test,2,92.94006309148266,173.6671924290221
examples/example.png,Test,3,153.96214511041012,226.42586750788644
examples/example.png,Test,4,,
examples/example.png,Test,5,,
examples/example.png,Test,6,,
examples/example.png,Test,7,242.95268138801265,182.56624605678235
examples/example.png,Test,8,305.2460567823344,120.90851735015774
examples/example.png,Test,9,155.8690851735016,105.01735015772871
